Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Intervention Research to Improve Native American Health (R34 Clinical Trial Optional)","1/22/2025","1/8/2027","R34","NIH","NIDA","NCCIH, NIA, NIAAA, NICHD, NIDCR, NIEHS, NIMH, NINR, OBSSR, ODP, ORWH, THRO","PAR-25-378","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-378.html"
"New Investigator Gateway Awards for Collaborative T1D Research (R03 Clinical Trial Not Allowed)","1/22/2025","3/7/2026","R03","NIH","NIDDK","OD","RFA-DK-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-009.html"
"Intervention Research to Improve Native American Health (R01 Clinical Trial Optional)","1/21/2025","1/8/2027","R01","NIH","NIDA","NCI, NHLBI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINR, NLM, OBSSR, ODP, ORWH, THRO","PAR-25-379","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-379.html"
"Laboratory Flexible Funding Model (LFFM)","1/17/2025","1/11/2028","U19","FDA","FDA","None","RFA-FD-25-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-25-007.html"
"Leadership and Coordination Center (LACC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-011","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-011.html"
"Limited Competition: Data Analysis and Sharing Center (DASC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-010","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-010.html"
"Limited Competition: Clinical Research Sites (CRS) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trial Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-009.html"
"Asthma and Allergic Diseases Cooperative Research Centers (U19 Clinical Trial Optional)","1/16/2025","6/14/2025","U19","NIH","NIAID","None","RFA-AI-24-079","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-079.html"
"Collaborative Research Using Biosamples and/or Data from Type 1 Diabetes Clinical Studies (R01 - Clinical Trial Not Allowed)","1/15/2025","3/9/2026","R01","NIH","NIDDK","OD","RFA-DK-26-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-007.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U19 Clinical Trial Optional)","1/15/2025","10/26/2027","U19","NIH","NIMH","None","PAR-25-353","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-353.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U01 Clinical Trial Optional)","1/15/2025","10/26/2027","U01","NIH","NIMH","None","PAR-25-352","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-352.html"
"NCI Pathway to Independence Award (K99/R00  Clinical Trial Required)","1/14/2025","10/15/2027","K99/R00","NIH","NCI","None","PAR-25-313","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-313.html"
"Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)","1/13/2025","11/19/2026","R01","NIH","NHGRI","NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIEHS, NIMH, NIMHD, NINDS, OBSSR, ORWH, THRO","PAR-25-371","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-371.html"
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)","1/13/2025","11/17/2026","R03","NIH","NHGRI","FIC, NCI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, OBSSR, ODSS, ORWH, THRO","PAR-25-370","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-370.html"
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)","1/13/2025","11/19/2026","R21","NIH","NHGRI","FIC, NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINDS, OBSSR, ORWH, THRO","PAR-25-369","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-369.html"
"Molecular Mechanisms of Combination Adjuvants (MMCA) (R01 Clinical Trial Not Allowed)","1/13/2025","6/11/2025","R01","NIH","NIAID","None","RFA-AI-25-006","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-25-006.html"
